lemmas	text	sentence_num	index_of_token_sent	tags
jádro	Jádro	cmpr9406-002-p18s1A	1	None
problém	problému	cmpr9406-002-p18s1A	2	None
""""	""""	cmpr9406-002-p18s1A	3	None
bankrot	bankroty	cmpr9406-002-p18s1A	4	None
,	,	cmpr9406-002-p18s1A	5	None
anebo	anebo	cmpr9406-002-p18s1A	6	None
nikoliv	nikoliv	cmpr9406-002-p18s1A	7	None
""""	""""	cmpr9406-002-p18s1A	8	None
být	je	cmpr9406-002-p18s1A	9	None
totiž	totiž	cmpr9406-002-p18s1A	10	None
z	z	cmpr9406-002-p18s1A	11	None
pohled	pohledu	cmpr9406-002-p18s1A	12	None
banka	bank	cmpr9406-002-p18s1A	13	None
viděný	viděno	cmpr9406-002-p18s1A	14	None
naprosto	naprosto	cmpr9406-002-p18s1A	15	None
odlišně	odlišně	cmpr9406-002-p18s1A	16	None
,	,	cmpr9406-002-p18s1A	17	None
než	než	cmpr9406-002-p18s1A	18	None
z	z	cmpr9406-002-p18s1A	19	None
pohled	pohledu	cmpr9406-002-p18s1A	20	None
politik	politiků	cmpr9406-002-p18s1A	21	None
,	,	cmpr9406-002-p18s1A	22	None
národohospodář	národohospodářů	cmpr9406-002-p18s1A	23	None
či	či	cmpr9406-002-p18s1A	24	None
laický	laické	cmpr9406-002-p18s1A	25	None
veřejnost	veřejnosti	cmpr9406-002-p18s1A	26	None
:	:	cmpr9406-002-p18s1A	27	None
způsob	Způsob	cmpr9406-022-p3s1	1	None
tisk	tisku	cmpr9406-022-p3s1	2	None
:	:	cmpr9406-022-p3s1	3	None
laser	Laser	cmpr9406-022-p3s1	4	None
Inhorgenta	INHORGENTA	cmpr9406-032-p3s1	1	None
München	München	cmpr9406-032-p3s1	2	None
-	-	cmpr9406-032-p3s1	3	None
21	21	cmpr9406-032-p3s1	4	None
.	.	cmpr9406-032-p3s1	5	None
mezinárodní	mezinárodní	cmpr9406-032-p3s1	6	None
odborný	odborný	cmpr9406-032-p3s1	7	None
veletrh	veletrh	cmpr9406-032-p3s1	8	None
hodiny	hodin	cmpr9406-032-p3s1	9	None
,	,	cmpr9406-032-p3s1	10	None
bižuterie	bižuterie	cmpr9406-032-p3s1	11	None
,	,	cmpr9406-032-p3s1	12	None
drahý	drahých	cmpr9406-032-p3s1	13	None
kámen	kamenů	cmpr9406-032-p3s1	14	None
,	,	cmpr9406-032-p3s1	15	None
perla	perel	cmpr9406-032-p3s1	16	None
,	,	cmpr9406-032-p3s1	17	None
stříbrný	stříbrného	cmpr9406-032-p3s1	18	None
zboží	zboží	cmpr9406-032-p3s1	19	None
a	a	cmpr9406-032-p3s1	20	None
zařízení	zařízení	cmpr9406-032-p3s1	21	None
pro	pro	cmpr9406-032-p3s1	22	None
jeho	jejich	cmpr9406-032-p3s1	23	None
zhotovení	zhotovení	cmpr9406-032-p3s1	24	None
:	:	cmpr9406-032-p3s1	25	None
4	4	cmpr9406-032-p3s1	26	None
.	.	cmpr9406-032-p3s1	27	None
-	-	cmpr9406-032-p3s1	28	None
7	7	cmpr9406-032-p3s1	29	None
.	.	cmpr9406-032-p3s1	30	None
2	2	cmpr9406-032-p3s1	31	None
.	.	cmpr9406-032-p3s1	32	None
ELTEC	ELTEC	cmpr9406-032-p11s1	1	None
-	-	cmpr9406-032-p11s1	2	None
odborný	Odborná	cmpr9406-032-p11s1	3	None
výstava	výstava	cmpr9406-032-p11s1	4	None
elektronika	elektroniky	cmpr9406-032-p11s1	5	None
:	:	cmpr9406-032-p11s1	6	None
23	23	cmpr9406-032-p11s1	7	None
.	.	cmpr9406-032-p11s1	8	None
-	-	cmpr9406-032-p11s1	9	None
25	25	cmpr9406-032-p11s1	10	None
.	.	cmpr9406-032-p11s1	11	None
6	6	cmpr9406-032-p11s1	12	None
.	.	cmpr9406-032-p11s1	13	None
jeden	Jeden	cmpr9406-037-p17s3	1	None
-	-	cmpr9406-037-p17s3	2	None
starý	starou	cmpr9406-037-p17s3	3	None
lakovna	lakovnu	cmpr9406-037-p17s3	4	None
s	s	cmpr9406-037-p17s3	5	None
naftový	naftovými	cmpr9406-037-p17s3	6	None
hořák	hořáky	cmpr9406-037-p17s3	7	None
-	-	cmpr9406-037-p17s3	8	None
v	v	cmpr9406-037-p17s3	9	None
Neratovice	Neratovicích	cmpr9406-037-p17s3	10	None
,	,	cmpr9406-037-p17s3	11	None
kde	kde	cmpr9406-037-p17s3	12	None
nikdo	nikomu	cmpr9406-037-p17s3	13	None
nic	nic	cmpr9406-037-p17s3	14	None
vadit	nevadí	cmpr9406-037-p17s3	15	None
.	.	cmpr9406-037-p17s3	16	None
problém	Problémem	cmpr9406-063-p8s1	1	None
však	však	cmpr9406-063-p8s1	2	None
být	je	cmpr9406-063-p8s1	3	None
zastaralost	zastaralost	cmpr9406-063-p8s1	4	None
jeho	jejího	cmpr9406-063-p8s1	5	None
technický	technického	cmpr9406-063-p8s1	6	None
zařízení	zařízení	cmpr9406-063-p8s1	7	None
,	,	cmpr9406-063-p8s1	8	None
neboť	neboť	cmpr9406-063-p8s1	9	None
podnik	podnik	cmpr9406-063-p8s1	10	None
být	byl	cmpr9406-063-p8s1	11	None
dlouhodobě	dlouhodobě	cmpr9406-063-p8s1	12	None
podinvestovaný	podinvestován	cmpr9406-063-p8s1	13	None
.	.	cmpr9406-063-p8s1	14	None
*	*	cmpr9407-021-p8s1	1	None
ochranář	Ochranáři	cmpr9407-021-p8s1	2	None
protestovat	protestují	cmpr9407-021-p8s1	3	None
proti	proti	cmpr9407-021-p8s1	4	None
výstavba	výstavbě	cmpr9407-021-p8s1	5	None
zejména	zejména	cmpr9407-021-p8s1	6	None
proto	proto	cmpr9407-021-p8s1	7	None
,	,	cmpr9407-021-p8s1	8	None
že	že	cmpr9407-021-p8s1	9	None
hraničit	hraničí	cmpr9407-021-p8s1	10	None
s	s	cmpr9407-021-p8s1	11	None
chráněný	chráněnou	cmpr9407-021-p8s1	12	None
krajinný	krajinnou	cmpr9407-021-p8s1	13	None
oblast	oblastí	cmpr9407-021-p8s1	14	None
český	Český	cmpr9407-021-p8s1	15	None
kras	kras	cmpr9407-021-p8s1	16	None
.	.	cmpr9407-021-p8s1	17	None
v	V	cmpr9410-008-p17s1	1	None
leden	lednu	cmpr9410-008-p17s1	2	None
tento	tohoto	cmpr9410-008-p17s1	3	None
rok	roku	cmpr9410-008-p17s1	4	None
být	jsme	cmpr9410-008-p17s1	5	None
od	od	cmpr9410-008-p17s1	6	None
společnost	společnosti	cmpr9410-008-p17s1	7	None
Home	Home	cmpr9410-008-p17s1	8	None
shopping	shopping	cmpr9410-008-p17s1	9	None
dostat	dostali	cmpr9410-008-p17s1	10	None
dopis	dopis	cmpr9410-008-p17s1	11	None
,	,	cmpr9410-008-p17s1	12	None
který	který	cmpr9410-008-p17s1	13	None
být	byl	cmpr9410-008-p17s1	14	None
adresovaný	adresován	cmpr9410-008-p17s1	15	None
můj	našemu	cmpr9410-008-p17s1	16	None
dědeček	dědečkovi	cmpr9410-008-p17s1	17	None
.	.	cmpr9410-008-p17s1	18	None
regulovaný	Regulovaná	cmpr9410-048-p12s14	1	None
cena	cena	cmpr9410-048-p12s14	2	None
většina	většinou	cmpr9410-048-p12s14	3	None
znamenat	znamená	cmpr9410-048-p12s14	4	None
,	,	cmpr9410-048-p12s14	5	None
že	že	cmpr9410-048-p12s14	6	None
vlk	vlk	cmpr9410-048-p12s14	7	None
se	se	cmpr9410-048-p12s14	8	None
nažrat	nažral	cmpr9410-048-p12s14	9	None
a	a	cmpr9410-048-p12s14	10	None
koza	koza	cmpr9410-048-p12s14	11	None
zůstat	zůstala	cmpr9410-048-p12s14	12	None
celý	celá	cmpr9410-048-p12s14	13	None
.	.	cmpr9410-048-p12s14	14	None
ten	To	cmpr9413-002-p6s5	1	None
být	by	cmpr9413-002-p6s5	2	None
se	se	cmpr9413-002-p6s5	3	None
mít	mělo	cmpr9413-002-p6s5	4	None
změnit	změnit	cmpr9413-002-p6s5	5	None
.	.	cmpr9413-002-p6s5	6	None
vysoký	Vysoké	cmpr9413-006-p26s1	1	None
využití	využití	cmpr9413-006-p26s1	2	None
podhorský	podhorských	cmpr9413-006-p26s1	3	None
pastvina	pastvin	cmpr9413-006-p26s1	4	None
,	,	cmpr9413-006-p26s1	5	None
kvalitní	nejkvalitnější	cmpr9413-006-p26s1	6	None
stádo	stáda	cmpr9413-006-p26s1	7	None
.	.	cmpr9413-006-p26s1	8	None
obdobný	Obdobný	cmpr9415-021-p10s4	1	None
dopis	dopis	cmpr9415-021-p10s4	2	None
být	je	cmpr9415-021-p10s4	3	None
povinný	povinen	cmpr9415-021-p10s4	4	None
dánský	dánský	cmpr9415-021-p10s4	5	None
podnik	podnik	cmpr9415-021-p10s4	6	None
zaslat	zaslat	cmpr9415-021-p10s4	7	None
také	také	cmpr9415-021-p10s4	8	None
úřad	úřadům	cmpr9415-021-p10s4	9	None
v	v	cmpr9415-021-p10s4	10	None
Kodaň	Kodani	cmpr9415-021-p10s4	11	None
,	,	cmpr9415-021-p10s4	12	None
který	které	cmpr9415-021-p10s4	13	None
o	o	cmpr9415-021-p10s4	14	None
žádost	žádosti	cmpr9415-021-p10s4	15	None
rozhodovat	rozhodují	cmpr9415-021-p10s4	16	None
.	.	cmpr9415-021-p10s4	17	None
kámen	Kámen	cmpr9415-038-p8s2	1	content
úraz	úrazu	cmpr9415-038-p8s2	2	content
být	je	cmpr9415-038-p8s2	3	content
v	v	cmpr9415-038-p8s2	4	content
ten	tom	cmpr9415-038-p8s2	5	content
,	,	cmpr9415-038-p8s2	6	content
co	čím	cmpr9415-038-p8s2	7	content
on	je	cmpr9415-038-p8s2	8	content
zaplatit	zaplatí	cmpr9415-038-p8s2	9	content
,	,	cmpr9415-038-p8s2	10	None
říci	řekl	cmpr9415-038-p8s2	11	cue
já	nám	cmpr9415-038-p8s2	12	None
náměstek	náměstek	cmpr9415-038-p8s2	13	source
