sentences	sentence_id
Папа утверждал, что ушло их четыреста, а вернулось четырнадцать.	2015Blokadnoe_detstvo.xml_65
Мы с первого моего лета уезжали в деревню Сорочкино под Лугой.	2015Blokadnoe_detstvo.xml_129
Мама сказала: попробуй повоюй на его месте.	2015Blokadnoe_detstvo.xml_227
Других девочек вокруг еще не появилось: все они поприезжали позже.	2015Blokadnoe_detstvo.xml_549
Эксперты в Киеве отмечают, что именно этот показатель наиболее важен, поскольку он свидетельствует о том, что украинцы опасаются действий России и при этом не доверяют Евросоюзу, на помощь которого ранее надеялись.	2015Donbass.xml_16
Хотя украинские чиновники заявили, что беспорядки были провокацией, организованной российскими спецслужбами, люди, побывавшие в последнее время в Донбассе, не согласны с этим мнением.	2015Donbass.xml_29
Каковы были условия, кто вел переговоры, почему не состоялось - все это уже описано, опубликовано.	2015Glavnaya_taina_nachala_voiny.xml_110
"Отечественная пропаганда объясняет россиянам, что одна из главных причин нынешней ""крымско-украинской"" политики России - это необходимость дать ответ на вызов Запада, на его попытку ущемить жизненно важные российские интересы."	2015Interviyu_Dvorkina.xml_1
У нас действовали до 20 различных групп, комитетов и прочих структур по совместной борьбе с терроризмом, пиратством, по поиску и спасению на море, по ликвидации последствий аварий на ядерных объектах, осуществлялись взаимные посещения военных учений.	2015Interviyu_Dvorkina.xml_72
Он сказал, что все страны должны платить за оборону.	2015Interviyu_Dvorkina.xml_107
Поэтому везде, где только можно, я утверждаю, что ЕвроПРО и глобальная ПРО никоим образом не могут подорвать наш потенциал ядерного сдерживания.	2015Interviyu_Dvorkina.xml_179
- Президент США заявил, что западные санкции порвали экономику России в клочья.	2015Interviyu_Yavlinskogo.xml_5
- В России в 90-е была создана система периферийного капитализма.	2015Interviyu_Yavlinskogo.xml_43
Поскольку минские достижения иллюзорны, утверждает Пастухов (а они действительно иллюзорны в плане разрешения кризиса), необходимо изобрести нечто им взамен.	2015Ne_nado_vozvrashchatsya_k_Yalte.xml_20
Могут разрешить взять капитана с Украины, например, но не рыбообработчиков, которых у нас своих на берегу полно.	2015Nelegalnye_kholodilniki.xml_26
Все, вплоть до мелочей, туда входит: место, наличие экипажа, остаток топлива, сколько рыбы взяли, происшествия.	2015Nelegalnye_kholodilniki.xml_141
"В то же время попытки влиятельных ""Московских ведомостей"" пропагандировать английскую идею свободы торговли не имели успеха, поскольку общественное мнение держалось тут другого взгляда."	2015Opravdanie_televideniya.xml_173
И очень важно, что здесь Генис говорит о людях, склонных к оппонированию российскому правительству, зачастую об эмигрантах.	2015Opravdanie_televideniya.xml_193
Способы были разные.	2015Pervyi_avtomobil.xml_5
Но в СССР Политбюро все-таки знало, что оно - единственный институт преемственности.	2015Poroshenko_dolzhen_pobedit.xml_63
Потому их называли поминальными свечами.	2015Pust_dolgim_budet_razgovor.xml_25
Люди, хорошо помнившие довоенные годы в СССР, в один голос утверждают, что до войны массового бытового антисемитизма почти не было.	2015Pust_dolgim_budet_razgovor.xml_78
