lemmas	text	sentence_num	index_of_token_sent	tags
папа	Папа	2015Blokadnoe_detstvo.xml_65	1	source
утверждать	утверждал	2015Blokadnoe_detstvo.xml_65	2	cue
,	,	2015Blokadnoe_detstvo.xml_65	3	None
что	что	2015Blokadnoe_detstvo.xml_65	4	content
уйти	ушло	2015Blokadnoe_detstvo.xml_65	5	content
они	их	2015Blokadnoe_detstvo.xml_65	6	content
четыреста	четыреста	2015Blokadnoe_detstvo.xml_65	7	content
,	,	2015Blokadnoe_detstvo.xml_65	8	content
а	а	2015Blokadnoe_detstvo.xml_65	9	content
вернуться	вернулось	2015Blokadnoe_detstvo.xml_65	10	content
четырнадцать	четырнадцать	2015Blokadnoe_detstvo.xml_65	11	content
.	.	2015Blokadnoe_detstvo.xml_65	12	None
мы	Мы	2015Blokadnoe_detstvo.xml_129	1	None
с	с	2015Blokadnoe_detstvo.xml_129	2	None
первый	первого	2015Blokadnoe_detstvo.xml_129	3	None
мой	моего	2015Blokadnoe_detstvo.xml_129	4	None
лето	лета	2015Blokadnoe_detstvo.xml_129	5	None
уезжать	уезжали	2015Blokadnoe_detstvo.xml_129	6	None
в	в	2015Blokadnoe_detstvo.xml_129	7	None
деревня	деревню	2015Blokadnoe_detstvo.xml_129	8	None
Сорочкино	Сорочкино	2015Blokadnoe_detstvo.xml_129	9	None
под	под	2015Blokadnoe_detstvo.xml_129	10	None
Луга	Лугой	2015Blokadnoe_detstvo.xml_129	11	None
.	.	2015Blokadnoe_detstvo.xml_129	12	None
мама	Мама	2015Blokadnoe_detstvo.xml_227	1	source
сказать	сказала	2015Blokadnoe_detstvo.xml_227	2	cue
:	:	2015Blokadnoe_detstvo.xml_227	3	None
попробовать	попробуй	2015Blokadnoe_detstvo.xml_227	4	content
повоевать	повоюй	2015Blokadnoe_detstvo.xml_227	5	content
на	на	2015Blokadnoe_detstvo.xml_227	6	content
его	его	2015Blokadnoe_detstvo.xml_227	7	content
место	месте	2015Blokadnoe_detstvo.xml_227	8	content
.	.	2015Blokadnoe_detstvo.xml_227	9	None
другой	Других	2015Blokadnoe_detstvo.xml_549	1	None
девочка	девочек	2015Blokadnoe_detstvo.xml_549	2	None
вокруг	вокруг	2015Blokadnoe_detstvo.xml_549	3	None
еще	еще	2015Blokadnoe_detstvo.xml_549	4	None
не	не	2015Blokadnoe_detstvo.xml_549	5	None
появиться	появилось	2015Blokadnoe_detstvo.xml_549	6	None
:	:	2015Blokadnoe_detstvo.xml_549	7	None
весь	все	2015Blokadnoe_detstvo.xml_549	8	None
они	они	2015Blokadnoe_detstvo.xml_549	9	None
поприезжать	поприезжали	2015Blokadnoe_detstvo.xml_549	10	None
позже	позже	2015Blokadnoe_detstvo.xml_549	11	None
.	.	2015Blokadnoe_detstvo.xml_549	12	None
эксперт	Эксперты	2015Donbass.xml_16	1	source
в	в	2015Donbass.xml_16	2	source
Киев	Киеве	2015Donbass.xml_16	3	source
отмечать	отмечают	2015Donbass.xml_16	4	cue
,	,	2015Donbass.xml_16	5	None
что	что	2015Donbass.xml_16	6	content
именно	именно	2015Donbass.xml_16	7	content
этот	этот	2015Donbass.xml_16	8	content
показатель	показатель	2015Donbass.xml_16	9	content
наиболее	наиболее	2015Donbass.xml_16	10	content
важный	важен	2015Donbass.xml_16	11	content
,	,	2015Donbass.xml_16	12	content
поскольку	поскольку	2015Donbass.xml_16	13	content
он	он	2015Donbass.xml_16	14	content
свидетельствовать	свидетельствует	2015Donbass.xml_16	15	content
о	о	2015Donbass.xml_16	16	content
то	том	2015Donbass.xml_16	17	content
,	,	2015Donbass.xml_16	18	content
